"word","freq"
"felt",590
"girls",590
"art",589
"shes",589
"living",588
"meeting",588
"hell",587
"guess",586
"men",586
"woman",586
"rest",584
"goes",582
"market",582
"chance",581
"writing",580
"given",579
"sleep",579
"matter",578
"books",577
"moment",576
"gave",575
"knew",575
"short",574
"couldnt",573
"across",572
"large",571
"sweet",571
"parents",565
"beer",564
"shit",563
"video",563
"easy",561
"film",558
"needed",558
"taken",558
"coach",557
"points",556
"bill",555
"among",554
"members",554
"mother",554
"ones",553
"perfect",553
"starting",553
"players",552
"cause",551
"gone",551
"south",551
"decided",550
"email",549
"march",549
"pick",549
"hour",547
"front",545
"glad",545
"green",545
"body",544
"store",544
"drive",543
"online",543
"building",541
"interesting",541
"played",541
"walk",540
"third",539
"san",538
"available",535
"dinner",535
"eat",535
"fire",534
"space",533
"visit",533
"yourself",532
"lead",528
"added",527
"final",527
"card",526
"although",525
"possible",523
"understand",522
"lives",520
"mr",520
"report",520
"wednesday",520
"works",520
"spring",519
"welcome",519
"north",518
"rock",518
"officials",517
"happen",515
"director",514
"spent",513
"tv",513
"within",513
"death",510
"child",508
"break",506
"loved",506
"bed",503
"department",502
"field",502
"learn",500
"won",499
"b",497
"strong",497
"wants",497
"happened",495
"write",495
"looked",494
"process",494
"wouldnt",493
"eyes",492
"fans",492
"issue",492
"jobs",491
"major",491
"worth",491
"media",490
"per",490
"district",489
"single",489
"federal",488
"schools",486
"sounds",486
"near",485
"crazy",483
"inside",483
"record",483
"town",483
"waiting",483
"boy",478
"giving",478
"likely",478
"ya",478
"air",476
"hair",476
"shot",476
"seeing",475
"tax",474
"weve",473
"wanna",470
"site",467
"takes",467
"teams",466
"worked",465
"wow",465
"obama",462
"shows",462
"known",461
"sense",461
"church",460
"ohio",460
"trip",460
"questions",459
"tried",459
"cost",458
"control",457
"west",457
"age",456
"conference",456
"definitely",454
"hold",453
"paper",453
"n",452
"recent",452
"son",452
"cleveland",451
"arent",450
"p",450
"huge",448
"ur",448
"yesterday",448
"level",447
"lots",446
"continue",444
"include",444
"education",442
"funny",442
"wonderful",441
"send",439
"wife",439
"human",438
"longer",438
"youll",437
"general",436
"met",436
"yearold",435
"lunch",434
"finished",433
"himself",433
"blue",432
"christmas",432
"offer",432
"seem",430
"turned",429
"facebook",428
"return",428
"forget",427
"nearly",427
"super",427
"based",426
"clear",424
"fight",424
"middle",424
"website",424
"east",423
"sent",423
"hands",422
"political",422
"services",421
"stand",421
"fine",420
"club",419
"energy",419
"join",419
"okay",419
"create",418
"father",418
"fuck",418
"goal",418
"personal",418
"ways",417
"act",416
"page",415
"themselves",415
"companies",414
"simply",414
"voice",414
"youve",414
"boys",413
"challenge",413
"la",413
"recently",413
"step",413
"weather",413
"moving",412
"seriously",412
"player",410
"wine",410
"race",409
"began",407
"cover",407
"decision",407
"fan",406
"held",406
"mark",406
"plans",406
"bar",405
"due",405
"jersey",404
"luck",404
"campaign",403
"door",401
"cannot",400
"perhaps",400
"answer",399
"research",399
"ball",398
"brown",398
"sound",398
"cold",397
"damn",396
"round",396
"ass",395
"led",395
"success",395
"washington",395
"price",394
"expected",393
"vote",393
"staff",392
"above",390
"career",390
"coffee",390
"save",390
"alone",389
"band",388
"chicago",388
"earlier",388
"pass",387
"usually",387
"issues",386
"sign",385
"design",383
"sitting",383
"dog",382
"medical",382
"omg",382
"higher",381
"ideas",381
"beat",380
"received",380
