"word","freq"
"to this",314
"make sure",312
"the book",312
"the country",312
"up a",312
"and get",311
"as he",311
"for some",311
"dont want",310
"im a",310
"my favorite",310
"this weekend",310
"what we",310
"you should",310
"think i",309
"to try",309
"it i",308
"i still",307
"in which",307
"to our",307
"must be",306
"ready for",305
"based on",304
"make the",304
"to look",304
"not only",303
"they can",303
"as you",302
"as much",301
"for more",301
"there were",301
"said i",300
"the story",300
"this time",300
"was just",300
"with an",300
"do i",299
"of what",299
"tried to",299
"who has",299
"get it",298
"st louis",298
"this was",298
"along with",297
"are in",297
"need a",297
"said it",297
"in her",296
"to her",296
"for her",295
"have no",295
"dont think",294
"and if",293
"as they",293
"because it",293
"for that",293
"is just",293
"know how",293
"percent of",292
"the big",292
"the company",292
"to meet",292
"love it",291
"talking about",290
"chance to",289
"i see",288
"will not",288
"but not",287
"that has",287
"it up",286
"say that",286
"but they",285
"could have",285
"the s",285
"to talk",285
"to watch",285
"was so",285
"who was",285
"a man",284
"a small",284
"ill be",284
"to it",284
"and all",283
"listening to",283
"but im",282
"for it",282
"im so",282
"in fact",282
"talk about",282
"working on",282
"like i",281
"they dont",281
"to tell",281
"with her",281
"because they",280
"they will",280
"but we",279
"happy birthday",278
"is on",278
"my own",278
"out in",278
"the show",278
"a week",277
"due to",277
"for our",277
"i saw",277
"to think",277
"and for",276
"at this",276
"can get",276
"even if",276
"it a",275
"time and",275
"to an",274
"bit of",273
"like this",273
"better than",272
"front of",272
"like it",272
"is now",271
"had the",270
"i miss",270
"less than",270
"looks like",270
"on to",270
"this one",270
"for years",269
"is also",269
"the season",269
"i should",268
"just got",268
"we all",268
"with this",268
"a while",267
"and so",267
"because the",267
"for us",267
"the future",267
"us to",267
"have an",266
"said in",266
"the case",266
"you in",266
"can you",265
"has to",265
"if he",265
"the united",265
"think that",265
"is what",264
"what they",264
"you were",264
"and she",263
"in front",263
"the middle",263
"and now",262
"between the",262
"to stop",262
"i wanted",261
"on it",261
"on twitter",261
"people are",261
"the word",260
"a chance",259
"and what",259
"being a",259
"day of",259
"i used",259
"the more",259
"to read",259
"a time",258
"down to",258
"my first",258
"with your",258
"you a",258
"i also",257
"off to",257
"out for",257
"to their",257
"i never",256
"in one",256
"rather than",256
"going on",255
"so we",255
"with it",255
"you like",255
"i mean",254
"in new",254
"it for",254
"are so",253
"from my",253
"his own",253
"i found",253
"that this",253
"what are",253
"who have",253
"a nice",252
"how many",252
"side of",252
"since the",251
"to buy",251
"all that",250
"do the",250
"all i",249
"and her",249
"the school",249
"tell you",248
"he would",247
"i went",247
"in order",247
"seems to",247
"we dont",247
"thats what",246
"the idea",246
"think of",246
"a way",244
"at home",244
"live in",244
"much more",244
"and how",243
"and will",243
"but that",243
"for those",243
"for their",242
"not sure",242
"take the",241
"it on",240
"on that",240
"the follow",240
"but you",239
"when she",239
"at my",238
"seem to",238
"its been",237
"much of",237
"tell me",237
"two years",237
"new jersey",236
"until the",236
"you all",236
"i said",235
"to pay",235
"united states",235
"should have",234
"the night",234
"wish i",234
"any of",232
"every day",232
"know i",232
"on our",232
"supposed to",232
"a better",231
"was going",231
"with that",231
"a huge",230
"good morning",230
"my mom",230
"people in",230
"can i",229
"has the",228
"made it",228
"that its",228
"to stay",228
"all over",227
"came to",227
"may have",227
"top of",227
"was an",227
"at am",226
"close to",226
"me that",226
"the back",226
"to live",226
"to share",226
"with all",226
"do that",225
"in it",225
"next week",225
"think about",225
"where i",225
"while the",225
"you could",225
"i havent",224
"it doesnt",224
"it the",224
"them in",224
"no longer",223
"of me",223
"on her",223
"out on",223
"the final",223
"to bring",223
"to him",223
"about how",222
"all my",222
"that there",222
"the road",222
"amount of",221
"know the",221
"they had",221
"and has",220
"and there",220
"are going",220
"but if",220
"made a",220
"she had",220
"it seems",219
"to create",219
"about this",218
"back and",218
"how do",218
"told me",218
"we do",218
"what he",218
"full of",217
"much as",217
"next year",217
"to that",217
"to write",217
"all day",216
"do with",216
"i knew",216
"in to",216
"its just",216
"makes me",216
"of time",216
"she has",216
"thats the",216
"the man",216
"to learn",216
"wait for",216
"expected to",215
"thats a",215
"the entire",215
"the main",215
"the national",215
"continue to",214
"here in",214
"how i",214
"how the",214
"i made",214
"it with",214
"my new",214
"see what",214
"the public",214
"time in",214
"the good",213
"we got",213
"and their",212
"he will",212
"it wasnt",212
"not just",212
"one day",212
"out a",212
"talk to",212
"to move",212
"listen to",211
"not have",211
"to show",211
"am i",210
"him and",210
"just as",210
"the university",210
"would like",210
"you see",210
"your own",210
"and when",209
"as if",209
"excited to",209
"find a",209
"in all",209
"interested in",209
"san francisco",209
"the third",209
"them and",209
"to them",209
"and this",208
"the biggest",208
"the old",208
"what do",208
"day to",207
"said she",207
"sort of",207
"what it",207
"day i",206
"for them",206
"it just",206
"same time",206
"waiting for",206
"and some",205
"before i",205
"i always",205
"is this",205
"list of",205
"me the",205
"mothers day",205
"a friend",204
"got the",204
"people to",204
"the great",204
"the kids",204
"to eat",204
"you just",204
"a large",203
"in love",203
"is very",203
"it can",203
"that can",203
"what to",203
"and make",202
"order to",202
"so it",202
"for him",201
"good to",201
"looking at",201
"los angeles",201
"that in",201
"the sun",201
"and an",200
"be on",200
"in its",200
"so the",200
"so you",200
"the government",200
"to follow",200
"or not",199
"the car",199
"to leave",199
"among the",198
"and even",198
"day and",198
"do a",198
"gonna be",198
"i felt",198
"my friends",198
"sense of",198
"the ball",198
"think its",198
"this season",198
"with their",198
"you too",198
"can see",197
"know if",197
"life is",197
"the morning",197
"the number",197
"we know",197
"would love",197
"deal with",196
"good luck",196
"how you",196
"im just",196
"now that",196
"thinking about",196
"we would",196
"who had",196
"ability to",195
"it but",195
"me in",195
"said they",195
