"word","freq"
"sorry",607
"beer",606
"tuesday",603
"chance",600
"running",599
"living",598
"gave",596
"havent",596
"needed",596
"order",593
"shes",592
"green",590
"lead",590
"parents",587
"rest",587
"matter",586
"art",585
"meeting",585
"across",583
"film",582
"welcome",582
"bill",581
"york",581
"fall",580
"felt",579
"perfect",578
"media",577
"points",577
"moment",573
"thursday",573
"among",572
"front",572
"south",572
"large",569
"played",568
"board",567
"easy",567
"ones",567
"sleep",567
"wants",567
"hell",565
"members",565
"especially",562
"shit",562
"learn",561
"shot",561
"guess",560
"couldnt",559
"email",559
"hour",559
"body",558
"glad",558
"market",556
"federal",555
"march",553
"eat",552
"although",549
"short",549
"online",547
"wednesday",547
"works",544
"building",543
"fans",542
"decided",541
"gone",541
"third",541
"north",537
"spring",537
"final",536
"report",536
"town",536
"child",535
"mother",535
"tv",535
"visit",534
"taken",533
"available",529
"crazy",529
"possible",529
"tried",529
"loved",527
"write",527
"drive",526
"starting",526
"understand",524
"coach",522
"happen",521
"players",520
"district",518
"won",518
"pick",517
"within",517
"hair",512
"lives",512
"strong",511
"yourself",511
"added",510
"break",510
"seeing",510
"major",509
"mr",509
"officials",508
"cause",507
"bed",506
"dinner",506
"fire",506
"walk",506
"director",505
"field",503
"tax",503
"wanna",503
"inside",501
"known",501
"sense",501
"west",501
"sweet",500
"death",499
"near",499
"wouldnt",499
"yesterday",499
"store",497
"paper",496
"issue",494
"sounds",494
"card",492
"turned",489
"giving",488
"interesting",486
"spent",486
"schools",485
"son",482
"space",482
"facebook",481
"obama",481
"return",481
"funny",480
"looked",480
"single",479
"eyes",478
"rock",478
"shows",478
"takes",478
"church",477
"wonderful",477
"hold",476
"trip",475
"department",474
"process",474
"site",474
"la",473
"longer",472
"b",471
"control",471
"finished",470
"youll",470
"per",468
"weve",468
"energy",465
"recent",465
"boy",463
"happened",463
"jobs",463
"worth",463
"lots",462
"recently",462
"create",460
"general",460
"himself",460
"political",460
"chicago",459
"wife",458
"ya",458
"based",457
"record",457
"wine",456
"lunch",455
"definitely",454
"christmas",452
"nearly",452
"arent",450
"clear",450
"n",449
"send",449
"ohio",448
"act",447
"personal",447
"wow",447
"waiting",446
"dog",445
"education",445
"goal",445
"father",444
"picture",444
"fine",443
"ur",443
"teams",441
"boys",439
"huge",439
"air",436
"seem",436
"began",435
"perhaps",435
"conference",434
"questions",434
"services",433
"human",432
"youve",431
"coffee",430
"dead",430
"race",430
"age",429
"cannot",427
"fan",427
"likely",427
"weather",426
"challenge",424
"damn",423
"east",423
"level",423
"page",421
"super",421
"war",421
"middle",419
"ball",418
"brown",418
"fight",418
"america",417
"forget",417
"washington",417
"website",417
"cover",416
"plans",416
"success",416
"offer",415
"career",414
"cost",414
"continue",413
"worked",413
"bar",412
"ways",412
"united",411
"door",410
"ass",409
"held",409
"wonder",409
"met",406
"sound",406
"jesus",405
"companies",404
"pass",404
"sent",404
"player",403
"blue",402
"p",402
"yearold",402
"simply",401
"voice",401
"brought",400
"fuck",400
"themselves",400
"band",399
"cold",399
"include",399
"oil",399
"training",399
"entire",398
"jersey",398
"club",397
"okay",397
"issues",396
"simple",396
"exactly",395
"hands",393
"research",393
"answer",392
"due",392
"moving",392
"piece",392
"spend",392
"campaign",391
"cleveland",391
"luck",391
"sales",389
"david",388
"sign",388
"current",386
"earlier",386
"join",386
"problems",386
"whose",386
"omg",385
"stories",385
"became",384
"usually",384
"beat",383
"events",383
"james",383
"plus",383
"stand",383
"learning",382
"round",382
"dad",381
"missed",381
"husband",379
"alone",378
"loss",378
"main",378
"c",377
"decision",377
"football",377
"text",377
"expected",376
"attention",375
"wrote",375
"tickets",373
"feet",372
"followed",372
"knows",372
"sitting",372
"heat",371
"save",370
"drink",369
"vote",368
"whatever",368
"league",367
"budget",366
"moved",366
"listening",365
"mark",365
"opportunity",365
"above",364
"details",364
"louis",363
"died",362
"fresh",362
"congrats",360
"ground",360
"paul",360
"sad",360
"design",359
"example",359
"action",358
"afternoon",358
"billion",358
"deep",358
"development",358
"daughter",357
"focus",357
"practice",357
"judge",356
"r",356
"seriously",356
"staff",356
"dark",355
"lose",355
"paid",355
"cup",354
"followers",354
"gotta",354
"brother",353
"mothers",353
"step",353
"style",353
"totally",353
"busy",352
"mine",351
"opening",351
"provide",351
"learned",350
"sit",350
"fast",349
"july",349
"june",349
"kid",349
"price",349
"form",348
"hospital",347
"star",347
"thoughts",347
"key",346
"quickly",346
"beach",345
"expect",345
"kept",345
"higher",344
"seven",344
"led",343
"lord",343
"michael",343
"truth",343
"ha",342
"low",342
"sun",342
"upon",342
"bank",341
"eight",341
"financial",341
"miles",341
"choice",340
"safe",340
"allow",339
"biggest",339
"data",339
"period",339
"role",339
"dr",338
"ideas",338
"extra",336
"similar",335
"bowl",334
"chris",334
"council",334
"created",334
"track",334
"album",333
"certain",333
"despite",333
"difficult",333
"ahead",332
"position",332
"speak",331
"listen",330
"received",330
"restaurant",330
"security",330
"spending",330
"statement",330
"table",330
"average",329
"box",329
"floor",329
"private",329
"agree",328
"allowed",328
"bought",328
"starts",328
"total",328
"interest",327
"cheese",326
"complete",326
"sister",326
"sports",326
"anyway",325
"itself",325
"member",325
"minute",325
"straight",325
"heres",324
"release",324
"tour",324
"chief",323
"figure",323
"industry",323
"study",323
"character",322
"contact",322
"die",322
"fair",322
"view",322
"account",321
"amount",321
"changed",321
"date",321
"finish",321
"press",321
"student",321
"evening",319
"killed",319
"grow",318
"pictures",318
"spot",318
"wall",318
"completely",317
"further",316
"helped",316
"hi",316
"international",316
"leaving",316
"photos",316
"serious",316
"chicken",315
"groups",315
"interested",315
"places",315
"type",315
"etc",314
"families",314
"medical",314
"released",314
"force",313
"gives",313
"products",313
"wear",313
"california",312
"involved",312
"wearing",312
"hotel",311
"internet",311
"rain",311
"ride",311
"workers",311
"x",311
"color",310
"dream",310
"message",310
"note",310
"dance",309
"earth",309
"growing",309
"o",309
"stage",309
"teachers",309
"tired",309
"comment",308
"quick",308
"review",308
"shop",308
"changes",307
"defense",307
"hall",307
"library",307
"passed",307
"quality",307
